codigoGrupo,nombreGrupo,sexoGrupo
27927,JDM_LAT_SAB_MAa_FS_SEN_MAS,M
29850,JDM_CAR_SAB_MAa_FS_CAD_MAS,M
27942,JDM_LAT_FS_INF_MAS,M
27260,JDM_ARG_FS_ALE_MXT_GRUPO_2,X
27257,JDM_ARG_FS_ALE_MXT_GRUPO_1,X
27256,JDM_ARG_FS_BEN_MXT_GRUPO_1,X
28578,JDM_VIL_SAB_MAa_FS_INF_MAS,M
27736,JDM_FUE_SAB_TAR_FS_SEN_MAS_VICENTE_DEL_BOSQUE,M
27715,JDM_FUE_DOM_MAa_FS_SEN_MAS_MONTECARMELO,M
28133,JDM_VAL_FS_CAD_MAS,M
28119,JDM_VAL_DOM_MAa_FS_SEN_MAS,M
28120,JDM_VAL_DOM_TAR_FS_SEN_MAS,M
28135,JDM_VAL_FS_JUV_MAS,M
28150,JDM_VAL_FS_ALE_MIX,X
29895,JDM_VAL_FS_INF_MAS_NUEVO,M
28576,JDM_VIL_SAB_MAa_FS_BEN_MIX_G1,X
28309,JDM_SAL_SAB_FS_INF_FEM_aNICO,F
27259,JDM_ARG_SAB_TAR_FS_JUV_MAS_PTO._BEJAR,M
28575,JDM_VIL_SAB_MAa_FS_ALE_MIX_G1,X
28577,JDM_VIL_SAB_MAa_FS_CAD_MAS,M
28580,JDM_VIL_DOM_TAR_FS_SEN_MAS_FR,M
27422,JDM_CEN_SAB_MAa_BM_ALE_MIX_G1,X
27423,JDM_CEN_SAB_MAa_BM_ALE_MIX_G2,X
27936,JDM_LAT_DOM_MAa_BC_SEN_MAS,M
27963,JDM_LAT_MBC_PBJ_MIX,X
27934,JDM_LAT_DOM_MAa_BC_SEN_FEM_G1,F
27946,JDM_LAT_MBC_BEN_MIX,X
27958,JDM_LAT_MBC_ALV_MIX_G2,X
27956,JDM_LAT_BC_JUV_MAS_G1,M
27948,JDM_LAT_BC_INF_FEM,F
27980,JDM_LAT_BC_JUV_MAS_G2,M
27925,JDM_LAT_DOM_MAa_F7_SEN_MAS_G3,M
27923,JDM_LAT_DOM_MAa_F7_SEN_MAS_G1,M
27924,JDM_LAT_DOM_MAa_F7_SEN_MAS_G2,M
27971,JDM_LAT_DOM_TAR_F7_SEN_MAS_G2,M
27269,JDM_ARG_VB_INF_MXT_GR_MIXTO,X
27253,JDM_ARG_VB_CAD_FEM_GR._4,F
27252,JDM_ARG_VB_CAD_FEM_GR._2,F
27254,JDM_ARG_VB_CAD_FEM_GR._3,F
28526,JDM_VIV_DOM_MAa_FS_SEN_MAS,M
28527,JDM_VIV_SAB_TAR_FS_SEN_MAS,M
28061,JDM_MON_SAB_MAa_MNBC_ALE_MIX_A,X
28065,JDM_MON_SAB_MAa_MNBC_BEN_MIX,X
28064,JDM_MON_SAB_MAa_MNBC_ALE_MIX_B,X
28228,JDM_RET_SAB_MAa_F7_ALE_MIX_1,X
28218,JDM_RET_SAB_TAR_F7_SEN_MAS_CDM_CHOPERA_S1_15-17H,M
28220,JDM_RET_SAB_TAR_F7_SEN_MAS_CDM_CHOPERA_S3_18-20H,M
28223,JDM_RET_DOM_MAa_F7_SEN_MAS_CDM_CHOPERA_D6_12-14H,M
28221,JDM_RET_DOM_MAa_F7_SEN_MAS_CDM_CHOPERA_D4_9-11H,M
28226,JDM_RET_DOM_TAR_F7_SEN_MAS_CDM_CHOPERA_D9_15-17H,M
28227,JDM_RET_DOM_TAR_F7_SEN_MAS_ADELF_D10_18-20H(OBRAS),M
28244,JDM_RET_SAB_MAa_F7_PBJ_MIX,X
28231,JDM_RET_SAB_MAa_F7_INF_MAS,M
28229,JDM_RET_SAB_MAa_F7_BEN_MIX_1,X
29523,JDM_MOR_SAB_BC_CAD_MAS,M
29509,JDM_MOR_SAB_TAR_BC_SEN_MAS_G1,M
29510,JDM_MOR_SAB_TAR_BC_SEN_MAS_G2,M
29511,JDM_MOR_DOM_MAa_BC_SEN_MAS_G1,M
29522,JDM_MOR_SAB_BC_JUV_MAS,M
29513,JDM_MOR_DOM_TAR_BC_SEN_MAS,M
29512,JDM_MOR_DOM_MAa_BC_SEN_MAS_G2,M
29878,JDM_MOR_SAB_BC_INF_MASC,M
29532,JDM_MOR_DOM_MAa_BC_SEN_MAS_G3,M
29533,JDM_MOR_SAB_TAR_F7_SEN_MAS_G2,M
29515,JDM_MOR_SAB_TAR_F7_SEN_MAS_G1,M
29514,JDM_MOR_SAB_MAa_F7_SEN_MAS,M
29518,JDM_MOR_DOM_TAR_F7_SEN_MAS_G2,M
29517,JDM_MOR_DOM_TAR_F7_SEN_MAS_G1,M
29540,JDM_MOR_SAB_MAa_F7_ALE_MIX,X
28360,JDM_SAN_VIE_TAR_FS_PBJ_MIX_2,X
28346,JDM_SAN_DOM_MAa_FS_SEN_MAS,M
27657,JDM_CIU_SABDOM_FS_CAD_MAS,M
28347,JDM_SAN_L-X_SEN_MAS_(21H_Y_22H_PABELLaN_Y_P.EXT),M
28359,JDM_SAN_VIE_TAR_FS_PBJ_MIX_1,X
28358,JDM_SAN_SAB_MAa_FS_CAD_MAS,M
28357,JDM_SAN_SAB_MAa_FS_INF_MAS_1,M
28356,JDM_SAN_SAB_MAa_FS_BEN_MIX_2,X
28355,JDM_SAN_SAB_MAa_FS_BEN_MIX_1,X
28354,JDM_SAN_SAB_MAa_FS_ALE_MIX_3,X
28353,JDM_SAN_SAB_MAa_FS_ALE_MIX_2,X
28352,JDM_SAN_SAB_MAa_FS_ALE_MIX_1,X
28373,JDM_SAN_SAB_MAa_FS_INF_MAS_2,M
29868,JDM_LAT_FS_PBJ_SAB_G-2,X
29525,JDM_MOR_SAB_MBC_ALE_MIX,X
29526,JDM_MOR_SAB_MBC_BEN_MIX,X
29535,JDM_MOR_SAB_MBC_ALE_FEM,F
27356,JDM_CAR_DOM_MAa_BC_SEN_MAS_CDM_FFOCHOA,M
28291,JDM_SAL_SABDOM_VB_SEN_MAS___2a__DIVISIaN_-_B,X
28289,JDM_SAL_SABDOM_VB_SEN_MAS___1a__DIVISIaN,X
27954,JDM_LAT_BC_CAD_MAS_G2,M
27953,JDM_LAT_BC_CAD_MAS_G1,M
27952,JDM_LAT_BC_CAD_FEM,F
27950,JDM_LAT_BC_INF_MAS_G2,M
27949,JDM_LAT_BC_INF_MAS_G1,M
27370,JDM_CAR_SAB_MAa_F7_PBJ_MIX,X
27369,JDM_CAR_SAB_MAa_F7_INF_MAS,M
27375,JDM_CAR_SAB_MAa_F7_BEN_MIX_G2,X
27374,JDM_CAR_SAB_MAa_F7_BEN_MIX_G1,X
29856,JDM_CAR_SAB_MAa_F7_ALE_MIX_G3,X
29854,JDM_CAR_SAB_MAa_F7_ALE_MIX_G2,X
29853,JDM_CAR_SAB_MAa_F7_ALE_MIX_G1,X
27419,JDM_CEN_SAB_MAa_BM_BEN_MIX_G2,X
27418,JDM_CEN_SAB_MAa_BM_BEN_MIX_G1,X
27509,JDM_CHM_SAB_MAa_FS_BEN_2_MIX,X
27514,JDM_CHM_SAB_MAa-TAR_FS_JUV_MAS_II,M
27506,JDM_CHM_SAB_MAa_FS_PBJ_MIX,X
27508,JDM_CHM_SAB_MAa_FS_BEN_1_MIX,X
27512,JDM_CHM_SAB_MAa_FS_INF_MAS,M
27511,JDM_CHM_SAB_MAa_FS_ALE_2_MIX,X
27510,JDM_CHM_SAB_MAa_FS_ALE_1_MIX,X
27518,JDM_CHM_SAB_MAa_VB_ALE_2_MIX,X
27517,JDM_CHM_SAB_MAa_VB_ALE_1_MIX,X
27504,JDM_CHM_SAB_MAa_MBC_BEN_1_MIX,X
27502,JDM_CHM_SAB_MAa_MBC_ALE_1_MIX,X
27503,JDM_CHM_SAB_MAa_MBC_ALE_2_MIX,X
27505,JDM_CHM_SAB_MAa_MBC_BEN_2_MIX,X
27536,JDM_CHM_SAB_MAa_VB_ALE_4_MIX,X
27519,JDM_CHM_SAB_MAa_VB_INF_1_FEM,F
27522,JDM_CHM_SAB_MAa-TAR_VB_CAD_1_FEM,F
27521,JDM_CHM_SAB_MAa_VB_ALE_3__MIX,X
27520,JDM_CHM_SAB_MAa_VB_INF_2_FEM,F
29847,JDM_CHM_SAB_MAa-TAR_VB_CAD_2_FEM,F
27498,JDM_CHM_FS_SEN_MAS_SAB__MAa_2,M
27539,JDM_CHM_SAB_MAa_FS_ALE_3_MIX,X
27420,JDM_CEN_SAB_MAa_BM_BEN_MIX_G3,X
28348,JDM_SAN_SAB_MAa_VB_ALE_MIX,X
29541,JDM_MOR_SAB_MAa_VB_JUV_FEM,F
28368,JDM_SAN_SAB_MAa_VB_INF_FEM,F
28349,JDM_SAN_SAB_MAa_VB_CAD_FEM_GR_1,F
27834,JDM_HOR_FS_BEN,X
27323,JDM_BAR_SAB_MAa_FS_INF_FEM,F
27851,JDM_HOR_SAB_FS_ALE_MIX,X
27708,JDM_FUE_SAB_TAR_F7_SEN_MAS_GRUPO_A,M
27835,JDM_HOR_FS_PBJ,X
27822,JDM_HOR_VIE_TAR_SAB_MAa_F7_PBJ_MIX_G1,X
27823,JDM_HOR_VIE_TAR_SAB_MAa_F7_PBJ_MIX_G2,X
29876,JDM_VIV_HK_BEN_MIX_C,X
28539,JDM_VIV_HK_ALE_MIX_D,X
28371,JDM_SAN_DOM_MAa_FS_JUV_MAS,M
28406,JDM_TET_SAB_MAa_FS_ALE_MIX,X
28404,JDM_TET_SAB_MAa_FS_BEN_MIX,X
28408,JDM_TET_SAB_MAa_FS_INF_MAS,M
28407,JDM_TET_SAB_MAa_FS_CAD_MAS,M
28138,JDM_VAL_VIE_TAR_MBC_PBJ_MIX,X
27647,JDM_CIU_SAB_MAa_F7_SEN_MAS,M
27668,JDM_CIU_DOM_MAa_F7_SEN_MAS_GRUPO_2,M
27596,JDM_CHB_SAB_TAR_BC_SEN_MAS_VALLEGOFIT_G1,M
27595,JDM_CHB_DOM_TAR_BC_SEN_FEM_VALLEGOFIT_G1,F
27599,JDM_CHB_DOM_TAR_BC_SEN_MAS_VALLEGOFIT_G3,M
27523,JDM_CHM_SAB_TAR_VB_CAD_FEM,F
27524,JDM_CHM_DOM_MAa_VB_CAD_FEM,F
29824,JDM_CHM_SAB_MAa-TAR_VB_INF_5_FEM,F
27569,JDM_CHM_SAB_TAR_VB_JUV_FEM_G2,F
29826,JDM_CHM_DOM_MAa_VB_JUV_FEM_G2,F
29825,JDM_CHM_SAB_MAa-TAR_VB_INF_6_FEM,F
27855,JDM_HOR_SABDOM_F7_INF_FEM,F
28290,JDM_SAL_SABDOM_VB_SEN_MAS___2a__DIVISIaN,X
28369,JDM_SAN_SAB_MAa_VB_CAD_FEM_GR_2,F
28500,JDM_USE_ORCASUR__SAB_TAR_F11_JUV_MAS,M
28528,JDM_VIV_FS_PBJ_MIX_VIERNES_TAR,X
27321,JDM_BAR_SAB_MAa_MBC_PREBEN_MIX,X
27314,JDM_BAR_SAB_MAa_BC_INF_MASC,M
27304,JDM_BAR_SAB_MAa_MBC_ALE_MIX,X
29516,JDM_MOR_DOM_MAa_F7_SEN_MAS_G1,M
29714,JDM_MOR_DOM_MAa_F7_SEN_MAS_G2,M
27976,JDM_LAT_DOM_TAR_F7_SEN_MAS_G3,M
27955,JDM_LAT_BC_JUV_FEM,F
29805,JDM_BAR_DOM_TAR_F7_MAS,M
29537,JDM_MOR_SAB_MAa_VB_CAD_FEM,F
29536,JDM_MOR_SAB_MAa_VB_INF_FEM,F
27832,JDM_HOR__VIERN_MBC_PBJ_MIXT_GR.2,X
27826,JDM_HOR_MBC_ALEV_MIX_SAB_GR.2,X
27824,JDM_HOR_MBC_ALE_F_GR.1,F
27829,JDM_HOR_MBC_BEN_GR.3,X
27828,JDM_HOR_MBC_BEN_GR.2,X
27827,JDM_HOR_MBC_BEN_GR.1,X
27831,JDM_HOR_VIERN_MBC_PBJ_MIX_GR.1,X
27856,JDM_HOR_MBC_ALEV_MIX_SAB_GR.3,X
27853,JDM_HOR_MBC_ALE_F_GR.2,F
27837,JDM_HOR_BC_INF_FEM_GR.2,F
28063,JDM_MON_SAB_MAaTAR_VB_INF_FEM_C,F
28034,JDM_MON_SAB_MAa_TAR_VB_CAD_FEM_A,F
28043,JDM_MON_SAB_MAa_TAR_VB_CAD_FEM_C,F
28035,JDM_MON_SAB_MAa_TAR_VB_CAD_FEM_B,F
28056,JDM_MON_SAB_MAa_TAR_VB_CAD_FEM_D,F
27306,JDM_BAR_SAB_MAa_FS_ALE_MIX,X
27307,JDM_BAR_SAB_MAa_FS_BEN_MIX,X
28212,JDM_RET_SAB_TAR_BC_SEN_MAS_S1_15-20H,M
28210,JDM_RET_SAB_TAR_BC_SEN_FEM_SF1_15-20H_(1a_FASE),F
28211,JDM_RET_DOM_MAa_BC_SEN_FEM_DF2_9-14H,F
28214,JDM_RET_DOM_TAR_BC_SEN_MAS_D3_15:15-17:45H,M
28213,JDM_RET_DOM_MAa_BC_SEN_MAS_D2_9-14H,M
27500,JDM_CHM_FS_SEN_MAS_DOM_MAa_1,M
27499,JDM_CHM_FS_SEN_MAS_SAB_TAR,M
27497,JDM_CHM_FS_SEN_MAS_SAB_MAa_1,M
28314,JDM_SAL_SAB_F7_BEN_MIX__aNICO,X
27811,JDM_HOR_SAB_F7_BEN_GR.3,X
27804,JDM_HOR_SAB__F7_ALV_GR.1,X
28454,JDM_VIC_SAB_MAa_FS_ALE_MIX_MARGOT,X
28455,JDM_VIC_SAB_MAa_FS_PRE_MIX_MARGOT-PALOMERAS,X
27932,JDM_LAT_DOM_MAa_VB_SEN_FEM,F
27933,JDM_LAT_DOM_TAR_VB_SEN_FEM,F
27670,JDM_CIU_DOM_TAR_F7_SEN_MAS_GRUPO_2,M
27666,JDM_CIU_SAB_TAR_F7_SEN_MAS_GRUPO_2,M
28041,JDM_MON_SABDOM_MAaTAR_BC_CAD_MAS_B,M
28039,JDM_MON_DOM_TAR_BC_SEN_MAS,M
28031,JDM_MON_SABDOM_MAaTAR_BC_CAD_MAS_A,M
28298,JDM_SAL_SAB_FS_INF_MAS_1a_FASE,M
28299,JDM_SAL_SAB_FS_CAD_MAS_aNICO,M
28300,JDM_SAL_SAB_FS_JUV_MAS_aNICO,M
28307,JDM_SAL_VIE_TAR_FS_PBJ_MIX_1a_FASE,X
28315,JDM_SAL_SAB_FS_ALE_MIX_GR-2,X
28296,JDM_SAL_SAB_FS_BEN_MIX__1a_FASE,X
29736,JDM_USE_ORCASUR_DOM_TAR_F7_SEN_MAS,M
29735,JDM_USE_ORCASUR_DOM_MAa_F7_SEN_MAS,M
27302,JDM_BAR_DOM_TAR_FS_SEN_MAS_CDMBAR,M
27303,JDM_BAR_DOM_MAa_FS_SEN_MAS_G2_CDMBAR/VILLA,M
29483,SAN_MIGUEL_CHM_FS_ALEVIN,X
29484,SAN_MIGUEL_CHM_FS_BENJAMIN,X
29779,TORNEO_SAN_MIGUEL_CHM_FS_SENIOR,M
27301,JDM_BAR_DOM_MAa_FS_SEN_MAS_G1_CDMBAR/VILLA,M
27501,JDM_CHM_FS_SEN_MAS_DOM_MAa_2,M
27727,JDM_FUE_F7_ALE_MIX,X
27725,JDM_FUE_F7_BEN_MIX,X
27726,JDM_FUE_F7_PRE_MIX,X
27710,JDM_FUE_DOM_MAa_F7_SEN_MAS_VALDEYEROS,M
27417,JDM_CEN_DOM_TAR_F7_SEN_MAS_(LOS_CARMENES),M
27300,JDM_BAR_SAB_TAR_BC_SEN_MAS_G1,M
28216,JDM_RET_SAB_TAR_FS_SEN_MAS_S2,M
28235,JDM_RET_SAB_MAa_FS_BEN_MIX,X
29745,JDM_HOR_F7_CAD_DOM,M
27852,JDM_HOR_F7_CAD_SAB__GR.1,M
27836,JDM_HOR_BC_INF_FEM_GR.1,F
27839,JDM_HOR_BC_INF_MAS_GR.2,M
27665,JDM_CIU_SABDOM_MBC_BEN_MIX,X
27367,JDM_CAR_SAB_TAR_F7_SEN_MAS_PARQUE_LAS_CRUCES,M
28044,JDM_MON_RB_ALE_MIX,X
27840,JDM_HOR_BC_CADETE_FEM,F
27841,JDM_HOR_BC_CADETE_MAS,M
27843,JDM_HOR_BC_JUVENIL_MASC_DOM,M
27803,JDM_HOR_DOM_MAa_BC_SEN_MAS_GR.2,M
27802,JDM_HOR_DOM_MAa_BC_SEN_MAS_GR.1,M
27654,JDM_CIU_SABDOM_FS_BEN_MIX,X
27655,JDM_CIU_SABDOM_FS_ALE_MIX,X
27656,JDM_CIU_SABDOM_FS_INF_MAS,M
27664,JDM_CIU_SABDOM_BC_CAD_MAS,M
27646,JDM_CIU_DOM_MAa_FS_SEN_MAS,M
27653,JDM_CIU_LUNVIE_FS_PBJ_MIX,X
27645,JDM_CIU_DOM_BC_SEN_MAS,M
27644,JDM_CIU_SAB_TAR_BC_SEN_MAS,M
27513,JDM_CHM_SAB_MAa_FS_CAD_MAS,M
27801,JDM_HOR_FS_SEN_MAS_DOMINGO,M
27838,JDM_HOR_BC_INF_MAS_GR.1,M
29808,JDM_SAL_SAB_FS_ALE_FEMENINO__aNICO,F
28131,JDM_VAL_F7_BEN_MIX,X
